epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.78412,1.16617,4.32352,1.27144,0.87346,0.1,0.1861,0.13562,1.05505,3.70795,1.37663,0,0,0
2,12.2756,1.33737,4.54497,1.48808,0.85924,0.1,0.17248,0.12402,1.07498,3.69357,1.38288,7.06931e-06,7.06931e-06,7.06931e-06
3,17.6539,1.34783,4.57019,1.39965,0.85954,0.1,0.1639,0.12274,1.07842,3.70246,1.39382,1.39973e-05,1.39973e-05,1.39973e-05
4,23.0271,1.12849,4.28162,1.2308,0.85961,0.1,0.16331,0.12074,1.08324,3.69868,1.39495,2.07838e-05,2.07838e-05,2.07838e-05
5,28.5103,1.40078,4.28486,1.6031,0.85892,0.1,0.14711,0.11058,1.08641,3.70654,1.39727,2.7429e-05,2.7429e-05,2.7429e-05
6,33.9743,1.36566,5.1531,1.49107,0.8582,0.1,0.14743,0.11078,1.09068,3.71509,1.39304,3.39329e-05,3.39329e-05,3.39329e-05
7,39.452,1.2959,4.54728,1.43453,0.84972,0.1,0.14909,0.11141,1.10802,3.71908,1.41991,4.02953e-05,4.02953e-05,4.02953e-05
8,44.8732,1.38722,4.5197,1.40984,0.88151,0.26667,0.19365,0.13556,0.73515,3.27817,1.18715,4.65164e-05,4.65164e-05,4.65164e-05
9,52.3887,1.02413,3.85198,1.26687,0.785,0.4,0.2885,0.24109,0.6312,3.08488,1.23753,5.25961e-05,5.25961e-05,5.25961e-05
10,59.9492,0.93602,3.33636,1.16727,0.77312,0.4,0.23794,0.19212,0.71956,3.54784,1.22874,5.85344e-05,5.85344e-05,5.85344e-05
11,67.0474,0.85677,2.98577,1.11786,0.8132,0.4,0.31659,0.26497,0.72509,4.55199,1.26683,6.43314e-05,6.43314e-05,6.43314e-05
12,74.6428,0.77078,2.69535,1.10053,0.84731,0.37295,0.42844,0.37066,0.66947,3.49504,1.208,6.9987e-05,6.9987e-05,6.9987e-05
13,81.7376,0.73131,2.66284,1.03868,0.65824,0.5,0.38346,0.33351,0.66778,2.75118,1.14129,7.55012e-05,7.55012e-05,7.55012e-05
14,89.1546,0.60907,2.25578,0.90155,0.3522,0.46667,0.31398,0.26257,0.6555,3.0238,1.09021,8.08741e-05,8.08741e-05,8.08741e-05
15,96.6339,0.79315,2.8753,1.08717,0.99119,0.2,0.30098,0.24294,0.61917,3.33471,1.10307,8.61055e-05,8.61055e-05,8.61055e-05
16,103.65,0.66056,2.04513,1.0517,1,0.17193,0.29169,0.22127,0.66309,3.50996,1.19765,9.11957e-05,9.11957e-05,9.11957e-05
17,110.928,0.75728,2.16113,1.05585,0.26032,0.2,0.16475,0.13839,0.8072,3.74018,1.37538,9.61444e-05,9.61444e-05,9.61444e-05
18,118.298,0.61638,2.07537,0.96053,0.26032,0.2,0.16475,0.13839,0.8072,3.74018,1.37538,0.000100952,0.000100952,0.000100952
19,125.779,0.63034,2.09655,1.05624,0.00155,0.2,0.0216,0.01864,1.15198,4.03656,1.61625,0.000105618,0.000105618,0.000105618
20,133.46,0.72287,2.01067,1.0529,0.00155,0.2,0.0216,0.01864,1.15198,4.03656,1.61625,0.000110142,0.000110142,0.000110142
21,140.94,0.72207,1.83145,1.06633,0.00071,0.1,0.04968,0.03975,1.32632,4.17862,1.71273,0.000114526,0.000114526,0.000114526
22,147.628,0.51827,1.69462,0.98908,0.00071,0.1,0.04968,0.03975,1.32632,4.17862,1.71273,0.000118767,0.000118767,0.000118767
23,155.217,0.63663,1.86003,1.04227,0.00058,0.1,0.09915,0.0694,1.79026,4.33704,1.97619,0.000122868,0.000122868,0.000122868
24,161.737,0.56982,1.52762,0.92564,0.00058,0.1,0.09915,0.0694,1.79026,4.33704,1.97619,0.000126827,0.000126827,0.000126827
25,169.649,0.59473,1.91312,1.00385,0.06712,0.2,0.14912,0.11438,1.8215,4.33226,1.9994,0.000130645,0.000130645,0.000130645
26,176.32,0.88756,1.75645,1.37759,0.06712,0.2,0.14912,0.11438,1.8215,4.33226,1.9994,0.000134321,0.000134321,0.000134321
27,184.13,0.48102,1.20046,0.86252,0.69096,0.09096,0.15879,0.133,1.96347,4.21071,2.08078,0.000137856,0.000137856,0.000137856
28,191.042,0.55111,1.69419,1.00757,0.69096,0.09096,0.15879,0.133,1.96347,4.21071,2.08078,0.00014125,0.00014125,0.00014125
29,199.182,0.5591,1.39559,1.05865,0.07365,0.26667,0.07705,0.03728,2.21714,4.24951,2.13984,0.000144502,0.000144502,0.000144502
30,206.159,0.55158,1.59159,1.06336,0.07365,0.26667,0.07705,0.03728,2.21714,4.24951,2.13984,0.000147613,0.000147613,0.000147613
31,214.07,0.72445,1.62499,1.11647,0.03333,0.06667,0.03339,0.00334,2.57051,4.24201,2.13901,0.000150583,0.000150583,0.000150583
32,220.914,0.62175,1.6301,1.02398,0.03333,0.06667,0.03339,0.00334,2.57051,4.24201,2.13901,0.000153411,0.000153411,0.000153411
33,228.912,0.65605,1.38671,1.06377,0,0,0,0,3.07947,4.3466,2.39876,0.000156098,0.000156098,0.000156098
34,236.027,0.59374,1.53263,0.95531,0,0,0,0,3.07947,4.3466,2.39876,0.000158643,0.000158643,0.000158643
35,244.371,0.66125,1.49488,1.11862,0.0005,0.1,0.04963,0.03474,2.81144,4.29717,2.42491,0.000161047,0.000161047,0.000161047
36,251.413,0.67113,1.61897,1.07651,0.0005,0.1,0.04963,0.03474,2.81144,4.29717,2.42491,0.00016331,0.00016331,0.00016331
37,259.42,0.68119,1.63101,1.08344,0.00058,0.1,0.03315,0.01989,2.22609,3.99811,2.00649,0.000165431,0.000165431,0.000165431
38,269.191,0.57076,1.41869,0.89592,0.00058,0.1,0.03315,0.01989,2.22609,3.99811,2.00649,0.000167411,0.000167411,0.000167411
39,290.966,0.62876,1.22707,0.999,0.20298,0.2,0.029,0.01536,1.62511,3.64029,1.63424,0.000169249,0.000169249,0.000169249
40,302.467,0.5147,1.16399,0.94446,0.20298,0.2,0.029,0.01536,1.62511,3.64029,1.63424,0.000170947,0.000170947,0.000170947
41,312.085,0.5931,1.40049,1.01304,0.05796,0.33333,0.0817,0.06744,1.1843,3.4596,1.34978,0.000172502,0.000172502,0.000172502
42,323.828,0.47402,1.11981,0.93679,0.05796,0.33333,0.0817,0.06744,1.1843,3.4596,1.34978,0.000173917,0.000173917,0.000173917
43,331.1,0.6965,1.50629,1.10576,0.10269,0.5,0.17872,0.14107,1.18257,3.23699,1.38498,0.00017519,0.00017519,0.00017519
44,338.187,0.59237,1.16324,0.9484,0.10269,0.5,0.17872,0.14107,1.18257,3.23699,1.38498,0.000176322,0.000176322,0.000176322
45,345.805,0.53834,1.27624,1.02975,0.12935,0.5,0.19119,0.13116,1.16308,3.20079,1.41349,0.000177312,0.000177312,0.000177312
46,352.784,0.80789,1.53875,1.35847,0.12935,0.5,0.19119,0.13116,1.16308,3.20079,1.41349,0.000178161,0.000178161,0.000178161
47,360.397,0.51063,1.11402,0.92464,0.47743,0.13333,0.14321,0.11066,1.11614,3.19606,1.37995,0.000178868,0.000178868,0.000178868
48,367.303,0.62163,0.88619,0.95139,0.47743,0.13333,0.14321,0.11066,1.11614,3.19606,1.37995,0.000179435,0.000179435,0.000179435
49,375.102,0.49407,1.23703,0.97536,0.67834,0.29233,0.11562,0.0796,1.11571,3.24535,1.34344,0.000179859,0.000179859,0.000179859
50,382.145,0.47763,0.9149,0.95327,0.67834,0.29233,0.11562,0.0796,1.11571,3.24535,1.34344,0.000180143,0.000180143,0.000180143
51,389.204,0.6579,1.31675,1.08647,0.87023,0.13333,0.12769,0.10141,1.07219,3.26871,1.30006,0.000180285,0.000180285,0.000180285
52,400.667,0.44482,1.09457,0.9443,0.87023,0.13333,0.12769,0.10141,1.07219,3.26871,1.30006,0.000180286,0.000180286,0.000180286
53,414.665,0.62303,1.28958,1.09427,0.87023,0.13333,0.12769,0.10141,1.07219,3.26871,1.30006,0.000180145,0.000180145,0.000180145
54,422.743,0.61359,1.26565,1.02982,0.68623,0.13333,0.19254,0.13245,1.04047,3.30582,1.29078,0.000179863,0.000179863,0.000179863
55,429.724,0.55409,1.2763,1.02704,0.68623,0.13333,0.19254,0.13245,1.04047,3.30582,1.29078,0.00017944,0.00017944,0.00017944
56,436.726,0.6146,1.20485,1.0464,0.68623,0.13333,0.19254,0.13245,1.04047,3.30582,1.29078,0.000178875,0.000178875,0.000178875
57,443.243,0.48631,0.91797,0.92902,0.25078,0.6,0.28791,0.18741,1.01585,3.47006,1.37744,0.000178169,0.000178169,0.000178169
58,449.556,0.50185,0.86128,0.94448,0.25078,0.6,0.28791,0.18741,1.01585,3.47006,1.37744,0.000177321,0.000177321,0.000177321
59,456.425,0.60357,0.95576,1.00162,0.25078,0.6,0.28791,0.18741,1.01585,3.47006,1.37744,0.000176332,0.000176332,0.000176332
60,463.003,0.61939,0.93212,1.04907,0.49917,0.13168,0.11709,0.09218,0.85769,3.59412,1.31622,0.000175202,0.000175202,0.000175202
61,469.36,0.65446,1.10523,1.05863,0.49917,0.13168,0.11709,0.09218,0.85769,3.59412,1.31622,0.00017393,0.00017393,0.00017393
62,476.148,0.48984,0.82669,0.95573,0.49917,0.13168,0.11709,0.09218,0.85769,3.59412,1.31622,0.000172517,0.000172517,0.000172517
63,483.327,0.45737,0.8995,0.97905,0.28312,0.13333,0.1224,0.0988,0.72363,3.32339,1.1898,0.000170963,0.000170963,0.000170963
64,489.735,0.70818,1.27279,1.16288,0.28312,0.13333,0.1224,0.0988,0.72363,3.32339,1.1898,0.000169267,0.000169267,0.000169267
65,497.121,0.52865,1.09044,0.9861,0.28312,0.13333,0.1224,0.0988,0.72363,3.32339,1.1898,0.00016743,0.00016743,0.00016743
66,503.471,0.4783,0.81041,1.0706,0.54855,0.2,0.33048,0.2739,0.69468,3.08906,1.12041,0.000165452,0.000165452,0.000165452
67,510.09,0.51239,1.06501,1.02053,0.54855,0.2,0.33048,0.2739,0.69468,3.08906,1.12041,0.000163332,0.000163332,0.000163332
68,516.716,0.48263,0.76779,0.94363,0.54855,0.2,0.33048,0.2739,0.69468,3.08906,1.12041,0.000161071,0.000161071,0.000161071
69,523.644,0.57121,0.89936,0.98964,0.74738,0.2,0.53871,0.41602,0.87763,3.07699,1.2247,0.000158668,0.000158668,0.000158668
70,534.848,0.54343,0.90894,0.98376,0.74738,0.2,0.53871,0.41602,0.87763,3.07699,1.2247,0.000156124,0.000156124,0.000156124
71,549.47,0.57359,0.57113,0.91425,0.74738,0.2,0.53871,0.41602,0.87763,3.07699,1.2247,0.000153439,0.000153439,0.000153439
72,564.011,0.47636,0.68146,0.97065,0.6,0.19819,0.55554,0.46066,0.77427,3.02711,1.16666,0.000150612,0.000150612,0.000150612
73,574.31,0.66475,0.7938,1.08066,0.6,0.19819,0.55554,0.46066,0.77427,3.02711,1.16666,0.000147644,0.000147644,0.000147644
74,582.375,0.48692,0.88807,0.93853,0.6,0.19819,0.55554,0.46066,0.77427,3.02711,1.16666,0.000144534,0.000144534,0.000144534
75,590.459,0.53646,0.809,1.00396,0.59779,0.2,0.4151,0.35993,0.72192,2.84157,1.12695,0.000141283,0.000141283,0.000141283
76,597.37,0.4984,0.63279,0.92434,0.59779,0.2,0.4151,0.35993,0.72192,2.84157,1.12695,0.000137891,0.000137891,0.000137891
77,604.765,0.46675,0.6241,0.93505,0.59779,0.2,0.4151,0.35993,0.72192,2.84157,1.12695,0.000134358,0.000134358,0.000134358
78,611.916,0.70827,0.90405,1.15363,0.99463,0.2,0.50614,0.42207,0.71073,2.74813,1.07128,0.000130683,0.000130683,0.000130683
79,618.847,0.43411,0.65424,0.92201,0.99463,0.2,0.50614,0.42207,0.71073,2.74813,1.07128,0.000126866,0.000126866,0.000126866
80,625.862,0.54717,0.80064,0.98556,0.99463,0.2,0.50614,0.42207,0.71073,2.74813,1.07128,0.000122909,0.000122909,0.000122909
81,632.945,0.475,0.59847,0.94229,0.99118,0.2,0.41069,0.34222,0.67383,2.6886,1.02789,0.00011881,0.00011881,0.00011881
82,639.468,0.52721,0.79036,1.08626,0.99118,0.2,0.41069,0.34222,0.67383,2.6886,1.02789,0.000114569,0.000114569,0.000114569
83,646.827,0.62443,0.99972,1.12374,0.99118,0.2,0.41069,0.34222,0.67383,2.6886,1.02789,0.000110187,0.000110187,0.000110187
84,653.715,0.42774,0.65404,0.92258,0.78928,0.2,0.29803,0.23694,0.62124,2.74081,1.00424,0.000105664,0.000105664,0.000105664
85,660.316,0.4158,0.60075,0.94609,0.78928,0.2,0.29803,0.23694,0.62124,2.74081,1.00424,0.000101,0.000101,0.000101
86,668.217,0.41493,0.58172,0.93869,0.78928,0.2,0.29803,0.23694,0.62124,2.74081,1.00424,9.61937e-05,9.61937e-05,9.61937e-05
87,676.586,0.46113,0.6354,0.98682,0.78928,0.2,0.29803,0.23694,0.62124,2.74081,1.00424,9.12463e-05,9.12463e-05,9.12463e-05
88,686.254,0.46473,0.64796,0.968,0.52878,0.4,0.32706,0.26687,0.5933,2.8085,0.99962,8.61577e-05,8.61577e-05,8.61577e-05
89,694.109,0.40604,0.58581,0.92108,0.52878,0.4,0.32706,0.26687,0.5933,2.8085,0.99962,8.09276e-05,8.09276e-05,8.09276e-05
90,704.473,0.65303,1.10641,1.21381,0.52878,0.4,0.32706,0.26687,0.5933,2.8085,0.99962,7.55562e-05,7.55562e-05,7.55562e-05
91,716.381,0.3469,0.67808,0.8963,0.52878,0.4,0.32706,0.26687,0.5933,2.8085,0.99962,7.00434e-05,7.00434e-05,7.00434e-05
92,723.084,0.41795,0.75014,0.98741,0.6269,0.39898,0.33098,0.27105,0.5712,2.89888,1.02005,6.43892e-05,6.43892e-05,6.43892e-05
93,729.088,0.3531,0.70352,0.96364,0.6269,0.39898,0.33098,0.27105,0.5712,2.89888,1.02005,5.85937e-05,5.85937e-05,5.85937e-05
94,735.713,0.37013,0.6906,0.89069,0.6269,0.39898,0.33098,0.27105,0.5712,2.89888,1.02005,5.26568e-05,5.26568e-05,5.26568e-05
95,742.134,0.34161,0.63403,0.90598,0.6269,0.39898,0.33098,0.27105,0.5712,2.89888,1.02005,4.65785e-05,4.65785e-05,4.65785e-05
96,748.837,0.4175,0.74638,0.99554,0.62386,0.39468,0.33167,0.28649,0.5527,2.97594,1.0064,4.03589e-05,4.03589e-05,4.03589e-05
97,755.055,0.42485,0.87691,1.07766,0.62386,0.39468,0.33167,0.28649,0.5527,2.97594,1.0064,3.39978e-05,3.39978e-05,3.39978e-05
98,761.672,0.32631,0.64565,0.87298,0.62386,0.39468,0.33167,0.28649,0.5527,2.97594,1.0064,2.74954e-05,2.74954e-05,2.74954e-05
99,768.807,0.31053,0.68087,0.94936,0.62386,0.39468,0.33167,0.28649,0.5527,2.97594,1.0064,2.08517e-05,2.08517e-05,2.08517e-05
