epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.20164,1.26541,4.88,2.59271,0.01353,0.12381,0.06739,0.04808,1.24341,4.45959,3.36398,1.48e-05,1.48e-05,1.48e-05
2,7.11914,1.10083,4.81784,2.46037,0.01892,0.24667,0.07282,0.05425,1.03922,4.35409,3.09376,3.26407e-05,3.26407e-05,3.26407e-05
3,10.8994,0.87886,4.66918,2.1294,0.03233,0.50762,0.06991,0.04654,0.91846,4.13997,2.48974,4.97487e-05,4.97487e-05,4.97487e-05
4,14.1261,0.86257,4.50531,2.10079,0.03666,0.65524,0.12207,0.07269,0.90976,3.9508,2.21199,6.61242e-05,6.61242e-05,6.61242e-05
5,17.9625,0.78646,4.43368,1.90864,0.03551,0.68571,0.18926,0.12585,0.93644,3.61922,2.05041,8.1767e-05,8.1767e-05,8.1767e-05
6,21.7679,0.7653,4.24643,1.84018,0.04133,0.77143,0.20638,0.13692,0.92587,3.49636,2.01176,9.66773e-05,9.66773e-05,9.66773e-05
7,25.6286,0.79165,4.09595,1.93079,0.04237,0.82857,0.20773,0.14911,0.92499,3.09421,1.97452,0.000110855,0.000110855,0.000110855
8,29.6762,0.74683,3.91568,1.83285,0.66891,0.25367,0.21744,0.16141,0.98469,2.8485,1.93408,0.0001243,0.0001243,0.0001243
9,33.5235,0.78852,3.82352,1.81804,0.66381,0.33524,0.24297,0.18907,0.78495,2.71161,1.72078,0.000137012,0.000137012,0.000137012
10,37.3246,0.75686,3.62624,1.77304,0.65884,0.39429,0.24135,0.1884,0.78782,2.79327,1.7268,0.000148992,0.000148992,0.000148992
11,40.3383,0.78013,3.46905,1.74907,0.52172,0.42857,0.23017,0.18326,0.81087,2.71146,1.70592,0.00016024,0.00016024,0.00016024
12,43.2816,0.71676,3.26924,1.66638,0.53126,0.45714,0.27411,0.22032,0.8257,2.58271,1.72548,0.000170754,0.000170754,0.000170754
13,46.8803,0.75851,3.04177,1.71204,0.52244,0.51429,0.28976,0.23678,0.77381,2.56149,1.75072,0.000180536,0.000180536,0.000180536
14,50.6345,0.71117,2.85403,1.74658,0.36727,0.5874,0.32963,0.2748,0.74616,2.54403,1.73281,0.000189586,0.000189586,0.000189586
15,54.3841,0.71961,2.84251,1.6513,0.33598,0.63429,0.35894,0.29468,0.75706,2.56688,1.69219,0.000197903,0.000197903,0.000197903
16,58.0235,0.72399,2.63666,1.59539,0.44647,0.5379,0.37072,0.30281,0.77835,2.59795,1.73672,0.000205487,0.000205487,0.000205487
17,61.7585,0.75222,2.49589,1.54949,0.47651,0.55619,0.39267,0.32726,0.69421,2.56359,1.81915,0.000212339,0.000212339,0.000212339
18,65.4246,0.68493,2.46189,1.61345,0.50241,0.59048,0.41049,0.34633,0.65182,2.54534,1.8321,0.000218458,0.000218458,0.000218458
19,69.037,0.67924,2.40416,1.57427,0.36538,0.58605,0.41831,0.35397,0.62432,2.53858,1.82697,0.000223844,0.000223844,0.000223844
20,72.813,0.6604,2.29403,1.54836,0.43118,0.59506,0.47143,0.40387,0.65465,2.50248,1.78378,0.000228498,0.000228498,0.000228498
21,76.6356,0.67066,2.14032,1.48408,0.47806,0.65999,0.50161,0.43252,0.67108,2.52202,1.8135,0.00022348,0.00022348,0.00022348
22,80.3131,0.64336,2.12325,1.498,0.49977,0.6754,0.51059,0.44076,0.64966,2.47163,1.83684,0.000216154,0.000216154,0.000216154
23,83.9548,0.667,2.05597,1.49885,0.50544,0.66898,0.51711,0.45235,0.61901,2.45488,1.87209,0.000208828,0.000208828,0.000208828
24,87.7522,0.67485,2.09481,1.53738,0.53771,0.65669,0.5456,0.48258,0.56871,2.47313,1.79616,0.000201502,0.000201502,0.000201502
25,91.3948,0.59908,1.91409,1.53269,0.55123,0.68182,0.5347,0.47193,0.58222,2.4373,1.7144,0.000194176,0.000194176,0.000194176
26,94.4129,0.58468,1.75674,1.49548,0.54983,0.67847,0.54557,0.48618,0.59083,2.36968,1.71042,0.00018685,0.00018685,0.00018685
27,98.1208,0.58968,1.75215,1.48924,0.57446,0.61832,0.55555,0.4999,0.57233,2.29062,1.74877,0.000179524,0.000179524,0.000179524
28,101.849,0.63155,1.76862,1.5994,0.54959,0.65714,0.54246,0.49067,0.54127,2.15144,1.69992,0.000172198,0.000172198,0.000172198
29,104.947,0.57506,1.72131,1.54725,0.52284,0.68521,0.54498,0.49547,0.53437,2.13033,1.80629,0.000164872,0.000164872,0.000164872
30,108.022,0.542,1.60794,1.4749,0.49484,0.6921,0.53486,0.47894,0.55364,2.09955,1.90846,0.000157546,0.000157546,0.000157546
31,111.069,0.59024,1.64394,1.43895,0.48704,0.7,0.53789,0.48661,0.54655,2.08288,1.87297,0.00015022,0.00015022,0.00015022
32,114.085,0.53572,1.61892,1.44291,0.51211,0.67225,0.54774,0.49334,0.53023,1.9364,1.73326,0.000142894,0.000142894,0.000142894
33,117.063,0.54085,1.56294,1.45615,0.50164,0.68727,0.55754,0.50197,0.52643,1.90744,1.70507,0.000135568,0.000135568,0.000135568
34,120.849,0.52443,1.50054,1.35858,0.51076,0.70849,0.55953,0.50705,0.52735,1.93247,1.73089,0.000128242,0.000128242,0.000128242
35,124.571,0.52756,1.47355,1.39558,0.51549,0.69764,0.56462,0.51249,0.52736,1.97718,1.74546,0.000120916,0.000120916,0.000120916
36,128.392,0.57119,1.59301,1.53716,0.54238,0.62296,0.56881,0.51905,0.5188,2.1336,1.71537,0.00011359,0.00011359,0.00011359
37,132.13,0.49898,1.32268,1.38476,0.60362,0.58934,0.57611,0.52673,0.53354,2.19289,1.73365,0.000106264,0.000106264,0.000106264
38,135.958,0.54677,1.44921,1.47798,0.60424,0.58571,0.57067,0.5164,0.52613,2.23363,1.76227,9.8938e-05,9.8938e-05,9.8938e-05
39,138.957,0.51337,1.37422,1.48698,0.53822,0.67171,0.57825,0.53027,0.51884,2.24816,1.81259,9.1612e-05,9.1612e-05,9.1612e-05
40,142.721,0.49756,1.30541,1.33252,0.53366,0.66569,0.58474,0.53781,0.50357,2.20691,1.79104,8.4286e-05,8.4286e-05,8.4286e-05
41,173.019,0.37803,1.34897,1.37758,0.60563,0.583,0.59055,0.54942,0.49806,2.20741,1.76097,7.696e-05,7.696e-05,7.696e-05
42,176.704,0.38741,1.31122,1.30787,0.61299,0.58041,0.59136,0.55156,0.50269,2.20044,1.7423,6.9634e-05,6.9634e-05,6.9634e-05
43,180.39,0.36074,1.22424,1.2731,0.62298,0.59155,0.59815,0.55663,0.50869,2.19432,1.7401,6.2308e-05,6.2308e-05,6.2308e-05
44,184.259,0.36686,1.27068,1.22121,0.60381,0.58555,0.61152,0.55966,0.5134,2.21848,1.75615,5.4982e-05,5.4982e-05,5.4982e-05
45,188.077,0.37748,1.26891,1.33879,0.57987,0.58274,0.60257,0.55183,0.50694,2.21017,1.75438,4.7656e-05,4.7656e-05,4.7656e-05
46,191.025,0.33743,1.18259,1.17514,0.56446,0.63886,0.59404,0.54783,0.49905,2.19292,1.74534,4.033e-05,4.033e-05,4.033e-05
47,193.899,0.33519,1.19878,1.22545,0.56182,0.64636,0.59294,0.5427,0.49493,2.17718,1.7326,3.3004e-05,3.3004e-05,3.3004e-05
48,196.839,0.35228,1.16191,1.28185,0.55011,0.6553,0.58352,0.53748,0.48759,2.11842,1.70527,2.5678e-05,2.5678e-05,2.5678e-05
49,199.777,0.34846,1.19154,1.23808,0.54966,0.64944,0.5916,0.54269,0.48275,2.08544,1.68923,1.8352e-05,1.8352e-05,1.8352e-05
50,202.795,0.34035,1.15289,1.27105,0.55046,0.6552,0.59528,0.54651,0.48303,2.08068,1.68347,1.1026e-05,1.1026e-05,1.1026e-05
