epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.74483,1.14298,4.48879,1.22116,0.65787,0.10508,0.16523,0.1161,1.06186,3.55341,1.22319,0,0,0
2,13.0616,1.31167,4.49698,1.41591,0.88222,0.1,0.15623,0.10937,1.05633,3.5584,1.22512,7.06931e-06,7.06931e-06,7.06931e-06
3,15.5307,1.27685,4.34112,1.30524,0.88493,0.1,0.13534,0.09686,1.05799,3.53672,1.22836,1.39973e-05,1.39973e-05,1.39973e-05
4,18.0681,1.14177,4.1358,1.24453,0.88533,0.1,0.13561,0.09707,1.06773,3.50943,1.2583,2.07838e-05,2.07838e-05,2.07838e-05
5,20.7019,1.26362,4.01056,1.43245,0.88621,0.1,0.13064,0.09404,1.0595,3.51162,1.24646,2.7429e-05,2.7429e-05,2.7429e-05
6,23.2789,1.2979,4.77574,1.47493,0.88682,0.1,0.12715,0.09201,1.05768,3.50593,1.25506,3.39329e-05,3.39329e-05,3.39329e-05
7,25.6342,1.30386,4.32463,1.36029,0.88896,0.1,0.12801,0.09173,1.03239,3.50424,1.2494,4.02953e-05,4.02953e-05,4.02953e-05
8,27.9929,1.41594,4.35844,1.33667,0.89581,0.09581,0.09017,0.07341,0.75506,3.45363,1.06596,4.65164e-05,4.65164e-05,4.65164e-05
9,31.4441,0.99375,3.54439,1.2757,0.65431,0.1,0.25725,0.22562,0.62635,2.89052,0.96114,5.25961e-05,5.25961e-05,5.25961e-05
10,35.4928,0.91844,3.2032,1.10004,0.41377,0.5,0.23469,0.19852,0.6731,2.77044,0.92883,5.85344e-05,5.85344e-05,5.85344e-05
11,38.9854,1.04821,2.62142,1.14085,0.61419,0.5,0.41211,0.3546,0.66747,2.87248,0.93218,6.43314e-05,6.43314e-05,6.43314e-05
12,43.2237,0.72404,2.4614,1.03964,0.64378,0.5,0.38223,0.28293,0.73044,2.74629,0.96662,6.9987e-05,6.9987e-05,6.9987e-05
13,46.9494,0.72756,2.46182,1.03722,0.62316,0.59242,0.31571,0.2544,0.78418,3.13282,1.02497,7.55012e-05,7.55012e-05,7.55012e-05
14,50.5845,0.65845,1.96956,0.95517,0.41173,0.58246,0.38067,0.25141,0.78385,3.11258,1.09402,8.08741e-05,8.08741e-05,8.08741e-05
15,54.2138,0.80094,2.51986,1.10836,0.39365,0.5,0.40341,0.2848,0.75836,3.13184,1.09346,8.61055e-05,8.61055e-05,8.61055e-05
16,57.9482,0.74956,1.98674,1.09034,0.84141,0.39583,0.36489,0.28148,0.66671,2.62857,1.01305,9.11957e-05,9.11957e-05,9.11957e-05
17,61.8071,0.78389,1.89415,1.06057,0.34238,0.5,0.3187,0.27257,0.6705,2.32382,0.9837,9.61444e-05,9.61444e-05,9.61444e-05
18,65.4398,0.64473,1.77227,0.99623,0.34238,0.5,0.3187,0.27257,0.6705,2.32382,0.9837,0.000100952,0.000100952,0.000100952
19,69.3135,0.69458,1.95103,1.04493,0.34523,0.4,0.26701,0.21863,0.68374,2.32463,0.95134,0.000105618,0.000105618,0.000105618
20,73.2293,0.66936,1.72362,0.98933,0.34523,0.4,0.26701,0.21863,0.68374,2.32463,0.95134,0.000110142,0.000110142,0.000110142
21,76.93,0.75501,1.61987,1.07766,0.72724,0.25064,0.36442,0.28751,0.79107,2.54554,0.98497,0.000114526,0.000114526,0.000114526
22,80.5014,0.54907,1.34669,0.95946,0.72724,0.25064,0.36442,0.28751,0.79107,2.54554,0.98497,0.000118767,0.000118767,0.000118767
23,84.4567,0.6118,1.61156,1.02882,0.97294,0.1,0.48022,0.24976,0.91293,2.89964,1.01321,0.000122868,0.000122868,0.000122868
24,88.1258,0.60644,1.34022,0.96605,0.97294,0.1,0.48022,0.24976,0.91293,2.89964,1.01321,0.000126827,0.000126827,0.000126827
25,91.8687,0.57734,1.52557,0.93674,0.75679,0.1,0.34196,0.22151,0.88492,3.03717,1.0426,0.000130645,0.000130645,0.000130645
26,95.6778,0.90027,1.55515,1.24834,0.75679,0.1,0.34196,0.22151,0.88492,3.03717,1.0426,0.000134321,0.000134321,0.000134321
27,99.553,0.5198,0.93137,0.86396,0.37085,0.33333,0.38585,0.3097,0.76967,2.8513,1.07549,0.000137856,0.000137856,0.000137856
28,103.44,0.60356,1.3348,0.95152,0.37085,0.33333,0.38585,0.3097,0.76967,2.8513,1.07549,0.00014125,0.00014125,0.00014125
29,107.243,0.49627,1.13555,0.96104,0.53918,0.3,0.35445,0.28911,0.67465,2.62112,1.06282,0.000144502,0.000144502,0.000144502
30,110.85,0.54382,1.31111,0.97281,0.53918,0.3,0.35445,0.28911,0.67465,2.62112,1.06282,0.000147613,0.000147613,0.000147613
31,114.897,0.62965,1.26161,1.01335,0.48868,0.2,0.33685,0.2742,0.6754,2.66898,1.06248,0.000150583,0.000150583,0.000150583
32,118.499,0.59443,1.20466,0.98365,0.48868,0.2,0.33685,0.2742,0.6754,2.66898,1.06248,0.000153411,0.000153411,0.000153411
33,122.125,0.65443,1.3273,1.01618,0.79564,0.13333,0.40121,0.33811,0.64645,2.80526,0.97678,0.000156098,0.000156098,0.000156098
34,125.83,0.52509,1.31805,0.84921,0.79564,0.13333,0.40121,0.33811,0.64645,2.80526,0.97678,0.000158643,0.000158643,0.000158643
35,129.372,0.61377,1.19656,0.99492,0.60858,0.2967,0.38019,0.32704,0.59226,2.98972,0.94901,0.000161047,0.000161047,0.000161047
36,132.917,0.59828,1.3836,1.01156,0.60858,0.2967,0.38019,0.32704,0.59226,2.98972,0.94901,0.00016331,0.00016331,0.00016331
37,135.957,0.6125,1.47531,0.99374,0.64956,0.31578,0.32321,0.27352,0.61459,3.18617,0.92596,0.000165431,0.000165431,0.000165431
38,138.777,0.4611,1.0937,0.84695,0.64956,0.31578,0.32321,0.27352,0.61459,3.18617,0.92596,0.000167411,0.000167411,0.000167411
39,141.352,0.56687,0.97891,0.95966,0.63543,0.26667,0.26075,0.21886,0.71575,3.95742,0.96566,0.000169249,0.000169249,0.000169249
